WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,Estimates Start After,Unnamed: 60
512,AFG,PCPI,Afghanistan,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: FY2022/23 Harmonized prices: No Base year: 2015. The base is April 2015=100 Primary domestic currency: Afghan afghani Data last updated: 03/2024,,,,,,,,,,,,,,,,,,,,,,,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.970,101.296,105.736,110.998,111.693,114.264,120.671,130.038,143.822,,,,,,,,2023.0,
914,ALB,PCPI,Albania,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,"Source: National Statistics Office Latest actual data: 2022 Notes: CPI basket was revised in 2001, 2007 and 2015. Harmonized prices: No Base year: 2015 Primary domestic currency: Albanian lek Data last updated: 03/2024",,,,,,,,,,3.391,3.385,4.594,14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.660,72.231,73.938,76.058,77.855,79.700,82.059,84.775,86.667,89.800,92.892,94.783,96.608,98.167,100.000,101.287,103.297,105.393,106.880,108.613,110.831,118.286,123.927,128.259,132.105,136.011,140.095,144.331,148.659,2022.0,
612,DZA,PCPI,Algeria,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2022 Harmonized prices: No Base year: 2001 Primary domestic currency: Algerian dinar Data last updated: 02/2024,8.975,10.286,10.964,11.823,12.569,13.880,15.824,16.751,17.746,19.373,21.170,26.652,35.101,42.297,54.563,70.823,84.067,88.859,93.258,95.682,95.969,100.000,101.433,105.755,109.952,111.472,114.048,118.244,123.985,131.103,136.230,142.360,155.053,160.100,164.770,172.653,183.699,193.970,202.253,206.200,211.180,226.440,247.425,270.486,290.911,309.388,328.198,346.312,364.425,382.699,2022.0,
171,AND,PCPI,Andorra,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2021 Primary domestic currency: Euro Data last updated: 03/2024,,,,,,,,,,,,,,,,,,,,,,72.611,74.882,77.170,79.413,82.213,85.241,87.508,91.312,90.201,91.740,94.081,95.461,95.914,95.822,94.737,94.337,96.777,97.741,98.259,98.350,99.999,106.202,112.157,116.941,119.795,122.256,124.334,126.448,128.597,2023.0,
614,AGO,PCPI,Angola,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,"Source: National Statistics Office Latest actual data: 2023 Notes: Historical consumer price index (CPI) and inflation are measured by Angola’s national CPI (IPCN) from January 2015 and by the Luanda province CPI up to December 2014. Harmonized prices: No Base year: 2010. Although the base year is reported as 2010, we are currently using December 2010 (=100) as the base month. Primary domestic currency: Angolan kwanza Data last updated: 03/2024",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.920,251.795,301.218,352.664,431.227,542.334,658.179,747.946,912.523,"1,029.494","1,117.065","1,200.202","1,289.526","1,385.498",2023.0,
311,ATG,PCPI,Antigua and Barbuda,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2022. Latest data December 2022 Harmonized prices: No Base year: 2019. CPI Index = 100 in January 2019. Primary domestic currency: Eastern Caribbean dollar Data last updated: 02/2024,35.001,39.014,40.640,41.594,43.193,43.623,43.841,45.420,48.509,50.625,53.961,56.400,58.091,59.892,63.777,65.522,67.465,67.709,69.918,70.711,70.597,71.963,73.696,75.165,76.691,78.300,79.700,80.829,85.140,84.672,87.525,90.551,93.608,94.600,95.631,96.557,96.085,98.422,99.614,101.040,102.109,103.770,111.585,117.239,120.328,122.790,125.242,127.742,130.293,132.894,2022.0,
213,ARG,PCPI,Argentina,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,"Source: National Statistics Office Latest actual data: 2022 Notes: The official national consumer price index (CPI) for Argentina starts in December 2016. For earlier periods, CPI data for Argentina reflect the Greater Buenos Aires Area CPI (prior to December 2013), the national CPI (IPCNu, December 2013 to October 2015), the City of Buenos Aires CPI (November 2015 to April 2016), and the Greater Buenos Aires Area CPI (May 2016 to December 2016). Given limited comparability of these series on account of differences in geographical coverage, weights, sampling, and methodology, the average CPI inflation for 2014-16 and end-of-period inflation for 2015-16 are not reported in the World Economic Outlook. Inflation projections reflect the upper bound of the program range given recent world commodity price developments. Harmonized prices: No Base year: FY2013/14. Original base year is Oct13-Sep14, hence the 2013/14 notation. Primary domestic currency: Argentine peso Data last updated: 03/2024",,,,,,,,,,,,,,,,,,26.468,26.713,26.401,26.153,25.875,32.568,36.946,38.577,42.297,46.907,51.049,55.431,58.907,65.069,71.430,78.603,86.950,,,168.270,211.473,283.959,436.015,619.207,918.961,"1,584.572","3,699.800","12,941.647","20,654.421","27,226.330","31,979.906","35,301.889","38,443.008",2022.0,
911,ARM,PCPI,Armenia,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2022 Harmonized prices: No Base year: 1997 Primary domestic currency: Armenian dram Data last updated: 03/2024,,,,,,,,,,,,,0.013,0.497,26.706,73.907,87.693,100.000,108.687,109.472,108.625,112.057,113.220,118.522,126.686,127.407,131.100,136.881,149.358,154.609,167.213,179.744,184.224,194.750,200.631,208.046,205.083,207.522,212.681,215.749,218.396,234.124,254.374,259.373,267.477,277.293,288.386,299.922,311.920,324.397,2022.0,
314,ABW,PCPI,Aruba,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office Latest actual data: 2022 Harmonized prices: No Base year: 2019 Primary domestic currency: Aruban Florin Data last updated: 03/2024,,,,,,,37.995,39.378,40.607,42.227,44.692,47.173,48.999,51.557,54.797,56.667,58.463,60.220,61.343,62.738,65.294,67.178,69.405,71.942,73.762,76.268,79.021,83.280,90.740,88.801,90.646,94.612,95.153,92.896,93.287,93.731,92.857,91.902,95.235,98.986,97.686,98.413,103.845,107.340,109.857,111.850,113.992,116.269,118.592,120.962,2022.0,
193,AUS,PCPI,Australia,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,Units,Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2022. Data refer to calendar years Harmonized prices: No Base year: 2011. The base period is 2011Q3-2012Q2 Primary domestic currency: Australian dollar Data last updated: 03/2024,26.350,28.850,32.125,35.350,36.750,39.225,42.775,46.425,49.800,53.575,57.450,59.350,59.925,60.975,62.150,65.025,66.750,66.900,67.475,68.425,71.475,74.625,76.900,79.000,80.850,83.000,85.950,87.975,91.800,93.425,96.100,99.325,101.000,103.475,106.075,107.650,109.025,111.200,113.325,115.125,116.175,119.450,127.350,134.475,139.222,143.373,147.209,151.150,155.040,158.914,2022.0,
